display_name,category,sector,country_codes,barcodes,aliases,image_url,unit,tags,supplier_suggestions,marketplace_matches,publication_status,notes,reference_price,sale_price,supplier_hint,verified,added_by_count
Amikacine 500mg injectable - Amiklin,injectable,pharmacie,SN,,Amikacine 500mg injectable|Amikacine|Amiklin,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Amikacine 500mg injectable + + + Amiklin,,,Amiklin,false,1
Amoxicilline 500mg gélule - Clamoxyl,gélule,pharmacie,SN,,Amoxicilline 500mg gélule|Amoxicilline|Clamoxyl,,,medicament|senegal|gélule,,,draft,Niveaux: + + + + | Source: Amoxicilline 500mg gélule + + + + Clamoxyl,,,Clamoxyl,false,1
Amoxicilline 1 g comprimé - Clamoxyl,comprimé,pharmacie,SN,,Amoxicilline 1 g comprimé|Amoxicilline|Clamoxyl,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + + | Source: Amoxicilline 1 g comprimé + + + + Clamoxyl,,,Clamoxyl,false,1
Amoxicillicine 250mg comprimé dispersible - Clamoxyl,comprimé dispersible,pharmacie,SN,,Amoxicillicine 250mg comprimé dispersible|Amoxicillicine|Clamoxyl,,,medicament|senegal|comprimé dispersible,,,draft,Niveaux: + + + + + | Source: Amoxicillicine 250mg comprimé dispersible + + + + + Clamoxyl,,,Clamoxyl,false,1
Amoxicilline 250mg suspension buvable - Clamoxyl,suspension buvable,pharmacie,SN,,Amoxicilline 250mg suspension buvable|Amoxicilline|Clamoxyl,,,medicament|senegal|suspension buvable,,,draft,Niveaux: + + + + | Source: Amoxicilline 250mg suspension buvable + + + + Clamoxyl,,,Clamoxyl,false,1
"Amoxicilline+Acide Clavulanique 500mg/62,5mg Sachet - Augmentin",Sachet,pharmacie,SN,,"Amoxicilline+Acide Clavulanique 500mg/62,5mg Sachet|Amoxicilline+Acide Clavulanique|Augmentin",,,medicament|senegal|sachet,,,draft,"Niveaux: + + + + | Source: Amoxicilline+Acide Clavulanique 500mg/62,5mg Sachet + + + + Augmentin",,,Augmentin,false,1
Amoxicilline+Acide Clavulanique 1000mg/125mg Sachet - Augmentin,Sachet,pharmacie,SN,,Amoxicilline+Acide Clavulanique 1000mg/125mg Sachet|Amoxicilline+Acide Clavulanique|Augmentin,,,medicament|senegal|sachet,,,draft,Niveaux: + + + + | Source: Amoxicilline+Acide Clavulanique 1000mg/125mg Sachet + + + + Augmentin,,,Augmentin,false,1
Ampicilline 1g injectable - Totapen,injectable,pharmacie,SN,,Ampicilline 1g injectable|Ampicilline|Totapen,,,medicament|senegal|injectable,,,draft,Niveaux: + + + + | Source: Ampicilline 1g injectable + + + + Totapen,,,Totapen,false,1
Azithromycine 500mg comprimé - Zithromax,comprimé,pharmacie,SN,,Azithromycine 500mg comprimé|Azithromycine|Zithromax,,,medicament|senegal|comprimé,,,draft,Niveaux: + + 0 | Source: Azithromycine 500mg comprimé + + 0 Zithromax,,,Zithromax,false,1
"Benzathine -benzylpénicilline 2,4mui injectable - Extenlliline",injectable,pharmacie,SN,,"Benzathine -benzylpénicilline 2,4mui injectable|Benzathine -benzylpénicilline|Extenlliline",,,medicament|senegal|injectable,,,draft,"Niveaux: + + + | Source: Benzathine -benzylpénicilline 2,4mui injectable + + + Extenlliline",,,Extenlliline,false,1
"Benzathine-benzylpénicilline 1,2mui injectable - Extencilline",injectable,pharmacie,SN,,"Benzathine-benzylpénicilline 1,2mui injectable|Benzathine-benzylpénicilline|Extencilline",,,medicament|senegal|injectable,,,draft,"Niveaux: + + + + | Source: Benzathine-benzylpénicilline 1,2mui injectable + + + + Extencilline",,,Extencilline,false,1
Benzylpénicilline 1mui injectable - PéniG,injectable,pharmacie,SN,,Benzylpénicilline 1mui injectable|Benzylpénicilline|PéniG,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Benzylpénicilline 1mui injectable + + + PéniG,,,PéniG,false,1
Céfazoline 1g injectable - Céfacidal,injectable,pharmacie,SN,,Céfazoline 1g injectable|Céfazoline|Céfacidal,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Céfazoline 1g injectable + + + Céfacidal,,,Céfacidal,false,1
Céfixime 200mg comprimé - Oroken,comprimé,pharmacie,SN,,Céfixime 200mg comprimé|Céfixime|Oroken,,,medicament|senegal|comprimé,,,draft,Niveaux: + + + | Source: Céfixime 200mg comprimé + + + Oroken,,,Oroken,false,1
Céfixime 100mg/5ml suspension. buvable. - Oroken,M?dicament,pharmacie,SN,,Céfixime 100mg/5ml suspension. buvable.|Céfixime|Oroken,,,medicament|senegal,,,draft,Niveaux: + + + | Source: Céfixime 100mg/5ml suspension. buvable. + + + Oroken,,,Oroken,false,1
Céfotaxime 1 g injectable - Claforan,injectable,pharmacie,SN,,Céfotaxime 1 g injectable|Céfotaxime|Claforan,,,medicament|senegal|injectable,,,draft,Niveaux: + + + | Source: Céfotaxime 1 g injectable + + + Claforan,,,Claforan,false,1
