Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Votre appli collecte-t-elle ou partage-t-elle l'un des types de données utilisateur requis ?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Les données utilisateur que collecte votre appli sont-elles toutes chiffrées lors de leur transfert ?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,"Parmi les méthodes de création de compte suivantes, lesquelles votre appli prend-elle en charge ? Plusieurs choix possibles/Nom d'utilisateur et mot de passe"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,"Parmi les méthodes de création de compte suivantes, lesquelles votre appli prend-elle en charge ? Plusieurs choix possibles/Nom d'utilisateur et autre authentification"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Parmi les méthodes de création de compte suivantes, lesquelles votre appli prend-elle en charge ? Plusieurs choix possibles/Nom d'utilisateur, mot de passe et autres méthodes d'authentification"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,"Parmi les méthodes de création de compte suivantes, lesquelles votre appli prend-elle en charge ? Plusieurs choix possibles/OAuth"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,"Parmi les méthodes de création de compte suivantes, lesquelles votre appli prend-elle en charge ? Plusieurs choix possibles/Autre"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,"Parmi les méthodes de création de compte suivantes, lesquelles votre appli prend-elle en charge ? Plusieurs choix possibles/Mon appli ne permet pas aux utilisateurs de créer un compte"
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Décrivez la méthode de création de compte prise en charge par votre appli
PSL_ACCOUNT_DELETION_URL,,https://stockman.pro/delete-account,MAYBE_REQUIRED,Ajoutez un lien permettant aux utilisateurs de demander la suppression de leur compte et des données associées 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,true,SINGLE_CHOICE,Proposez-vous aux utilisateurs un moyen de demander la suppression de leurs données ?/Oui
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,false,SINGLE_CHOICE,Proposez-vous aux utilisateurs un moyen de demander la suppression de leurs données ?/Non
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,false,SINGLE_CHOICE,"Proposez-vous aux utilisateurs un moyen de demander la suppression de leurs données ?/Non, mais les données utilisateur sont automatiquement supprimées sous 90 jours"
PSL_DATA_DELETION_URL,,https://stockman.pro/delete-account,MAYBE_REQUIRED,URL de suppression des données
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Ne répondez à cette question que si vous avez indiqué que la tranche d'âge cible de votre appli inclut les enfants, ou si vous êtes inscrit au programme Pour la famille. Si c'est le cas, vous devez suivre les règles Google Play pour les contenus familiaux (https://support.google.com/googleplay/android-developer/answer/9893335). Voulez-vous que les utilisateurs puissent voir cet engagement dans la section Sécurité des données de votre fiche Play Store ?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"Votre appli a-t-elle passé avec succès un examen de sécurité indépendant, conformément au cadre d'évaluation de la sécurité des applis mobiles (Mobile Application Security Assessment, MASA) ? Ne répondez ""oui"" que si l'examen est en règle."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Voulez-vous afficher ce badge sur votre fiche Play Store ?
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,Les utilisateurs peuvent-ils se connecter à votre appli avec des comptes créés en dehors de l'appli ?
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_WITH_OUTSIDE_APP_ID,,MULTIPLE_CHOICE,"Comment ces comptes sont-ils créés ?/Identification hors appli (association SIM ou abonnement à un service, par exemple)"
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_LOGIN_THROUGH_EMPLOYMENT_OR_ENTERPRISE_ACCOUNT,,MULTIPLE_CHOICE,Comment ces comptes sont-ils créés ?/Au moyen de comptes professionnels ou d'entreprise
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_OUTSIDE_APP_ACCOUNT_TYPE_OTHER,,MULTIPLE_CHOICE,Comment ces comptes sont-ils créés ?/Autre
PSL_OUTSIDE_APP_ACCOUNT_TYPE_SPECIFY,,,MAYBE_REQUIRED,Décrivez comment ces comptes sont créés
