display_name;category;sector;barcodes;aliases;country_codes;image_url;unit;tags;supplier_suggestions;marketplace_matches;publication_status;notes;reference_price;sale_price;supplier_hint;verified;added_by_count
Huile de soja Jadida 1 L;Huile;epicerie;;Huile de soja Jadida 1 L|Huile de soja|Huile de soja 1 L|Huile de soja Jadida;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de soja|jadida|soja|1 l|a|expiration à suivre;;;ready;"Priorité boutique : A | Stock minimum suggéré : 6 | Expiration à suivre : Oui | Sensible : Non | Huile très courante en boutique; formats familiaux à suivre. | Source / validation : https://www.auchan.sn/229-huiles-cuisine";;;;true;1
Huile de soja Jadida 5 L;Huile;epicerie;;Huile de soja Jadida 5 L|Huile de soja|Huile de soja 5 L|Huile de soja Jadida;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de soja|jadida|soja|5 l|a|expiration à suivre;;;ready;"Priorité boutique : A | Stock minimum suggéré : 6 | Expiration à suivre : Oui | Sensible : Non | Huile très courante en boutique; formats familiaux à suivre. | Source / validation : https://www.auchan.sn/229-huiles-cuisine";;;;true;1
Huile de soja Jadida 10 L;Huile;epicerie;;Huile de soja Jadida 10 L|Huile de soja|Huile de soja 10 L|Huile de soja Jadida;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de soja|jadida|soja|10 l|a|expiration à suivre;;;ready;"Priorité boutique : A | Stock minimum suggéré : 6 | Expiration à suivre : Oui | Sensible : Non | Huile très courante en boutique; formats familiaux à suivre. | Source / validation : https://www.auchan.sn/229-huiles-cuisine";;;;true;1
Huile de soja Jadida 20 L;Huile;epicerie;;Huile de soja Jadida 20 L|Huile de soja|Huile de soja 20 L|Huile de soja Jadida;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de soja|jadida|soja|20 l|a|expiration à suivre;;;ready;"Priorité boutique : A | Stock minimum suggéré : 6 | Expiration à suivre : Oui | Sensible : Non | Huile très courante en boutique; formats familiaux à suivre. | Source / validation : https://www.auchan.sn/229-huiles-cuisine";;;;true;1
Huile de tournesol Brinto 1 L;Huile;epicerie;;Huile de tournesol Brinto 1 L|Huile de tournesol|Huile de tournesol 1 L|Huile de tournesol Brinto;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de tournesol|brinto|tournesol|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Format 1L et 5L à prioriser. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de tournesol Brinto 5 L;Huile;epicerie;;Huile de tournesol Brinto 5 L|Huile de tournesol|Huile de tournesol 5 L|Huile de tournesol Brinto;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de tournesol|brinto|tournesol|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Format 1L et 5L à prioriser. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de tournesol J'adore 1 L;Huile;epicerie;;Huile de tournesol J'adore 1 L|Huile de tournesol|Huile de tournesol 1 L|Huile de tournesol J'adore;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de tournesol|j'adore|tournesol|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Format 1L et 5L à prioriser. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de tournesol J'adore 5 L;Huile;epicerie;;Huile de tournesol J'adore 5 L|Huile de tournesol|Huile de tournesol 5 L|Huile de tournesol J'adore;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de tournesol|j'adore|tournesol|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Format 1L et 5L à prioriser. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de tournesol Lesieur 1 L;Huile;epicerie;;Huile de tournesol Lesieur 1 L|Huile de tournesol|Huile de tournesol 1 L|Huile de tournesol Lesieur;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de tournesol|lesieur|tournesol|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Format 1L et 5L à prioriser. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de tournesol Lesieur 5 L;Huile;epicerie;;Huile de tournesol Lesieur 5 L|Huile de tournesol|Huile de tournesol 5 L|Huile de tournesol Lesieur;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile de tournesol|lesieur|tournesol|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Format 1L et 5L à prioriser. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de palme Mourafa Diiw tiir 50 cl;Huile;epicerie;;Huile de palme Mourafa Diiw tiir 50 cl|Huile de palme|Huile de palme 50 cl|Huile de palme Mourafa;SN;;bouteille;épicerie|sénégal|épicerie de base|huile|huile de palme|mourafa|diiw tiir|50 cl|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Plus présent selon quartiers et habitudes culinaires. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile de palme Mourafa Diiw tiir 1 L;Huile;epicerie;;Huile de palme Mourafa Diiw tiir 1 L|Huile de palme|Huile de palme 1 L|Huile de palme Mourafa;SN;;bouteille;épicerie|sénégal|épicerie de base|huile|huile de palme|mourafa|diiw tiir|1 l|b|expiration à suivre;;;ready;Priorité boutique : B | Stock minimum suggéré : 3 | Expiration à suivre : Oui | Sensible : Non | Plus présent selon quartiers et habitudes culinaires. | Source / validation : https://www.auchan.sn/229-huiles-cuisine;;;;true;1
Huile végétale Olea 1 L;Huile;epicerie;;Huile végétale Olea 1 L|Huile végétale|Huile végétale 1 L|Huile végétale Olea;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|olea|végétale|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Olea 5 L;Huile;epicerie;;Huile végétale Olea 5 L|Huile végétale|Huile végétale 5 L|Huile végétale Olea;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|olea|végétale|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Olea 10 L;Huile;epicerie;;Huile végétale Olea 10 L|Huile végétale|Huile végétale 10 L|Huile végétale Olea;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|olea|végétale|10 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Olea 20 L;Huile;epicerie;;Huile végétale Olea 20 L|Huile végétale|Huile végétale 20 L|Huile végétale Olea;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|olea|végétale|20 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Chef 1 L;Huile;epicerie;;Huile végétale Chef 1 L|Huile végétale|Huile végétale 1 L|Huile végétale Chef;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|chef|végétale|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Chef 5 L;Huile;epicerie;;Huile végétale Chef 5 L|Huile végétale|Huile végétale 5 L|Huile végétale Chef;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|chef|végétale|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Chef 10 L;Huile;epicerie;;Huile végétale Chef 10 L|Huile végétale|Huile végétale 10 L|Huile végétale Chef;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|chef|végétale|10 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Chef 20 L;Huile;epicerie;;Huile végétale Chef 20 L|Huile végétale|Huile végétale 20 L|Huile végétale Chef;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|chef|végétale|20 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Dinor 1 L;Huile;epicerie;;Huile végétale Dinor 1 L|Huile végétale|Huile végétale 1 L|Huile végétale Dinor;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|dinor|végétale|1 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
Huile végétale Dinor 5 L;Huile;epicerie;;Huile végétale Dinor 5 L|Huile végétale|Huile végétale 5 L|Huile végétale Dinor;SN;;bouteille/bidon;épicerie|sénégal|épicerie de base|huile|huile végétale|dinor|végétale|5 l|a|expiration à suivre;;;ready;Priorité boutique : A | Stock minimum suggéré : 4 | Expiration à suivre : Oui | Sensible : Non | Marques à valider selon grossiste local. | Source / validation : https://sakanal.sn/fr/116-acheter-au-prix-gros;;;;true;1
